id,domain,question_group,gold_answer_mode,gold_missing_facts,question,gold_mode_reason
BHXH-012,bhxh,Definition,A,,"Công ty tôi có thưởng theo doanh số và thưởng thêm vào các dịp lễ, Tết. Các khoản thưởng này có tính vào việc đóng BHXH bắt buộc không?",Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-013,bhxh,Definition,A,,"Ngoài lương chính, tôi còn có phụ cấp trách nhiệm và phụ cấp chức vụ. Vậy phụ cấp có phải tính vào tiền lương đóng BHXH không?",Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-014,bhxh,Definition,A,,Nếu tôi xin nghỉ không lương một thời gian thì trong thời gian đó tôi có còn bị tính là người đang tham gia BHXH bắt buộc không?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-015,bhxh,Definition,A,,Tôi nghe công ty nói việc tạm hoãn hợp đồng khác với nghỉ việc hẳn. Vậy cho tôi hỏi nhận định này có đúng không? Về mặt BHXH thì tạm hoãn hợp đồng được hiểu thế nào?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-016,bhxh,Definition,A,,Tôi đã nghỉ việc ở công ty cũ. Xin hỏi nghĩa vụ đóng BHXH bắt buộc của tôi được xem là chấm dứt từ thời điểm nào?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-017,bhxh,Definition,A,,Nếu tôi không còn làm công ty nữa thì có thể chuyển sang đóng BHXH tự nguyện không? BHXH tự nguyện được hiểu thế nào?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-018,bhxh,Definition,A,,Tôi thấy ai đi làm cũng nhắc tới sổ BHXH. Xin hỏi sổ BHXH có ý nghĩa gì đối với quyền lợi của người lao động?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-019,bhxh,Definition,A,,Tôi đọc luật BHXH thấy có nhắc đến mức tham chiếu mà chưa hiểu rõ. Xin hỏi mức tham chiếu trong BHXH dùng để làm gì?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-020,bhxh,Definition,A,,Lương tôi hiện tại khá cao vậy tôi có bị khống chế mức tối đa khi đóng BHXH không?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-021,bhxh,Definition,A,,Tôi muốn tự tìm hiểu trước khi hỏi luật sư. Xin hỏi muốn xem quy định về BHXH bắt buộc thì nên tra những văn bản nào?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-022,bhxh,Procedure,A,,Tôi muốn tự kiểm tra xem mình có thuộc diện phải đóng BHXH bắt buộc hay không thì phải làm sao?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-023,bhxh,Procedure,A,,Tôi mới ký hợp đồng lao động chính thức. Xin hỏi sau khi ký hợp đồng thì công ty phải làm thủ tục BHXH cho tôi theo quy trình như thế nào?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-024,bhxh,Procedure,A,,Tôi sợ công ty nói đã đóng BHXH nhưng thực tế lại chưa đóng. Vậy tôi có thể kiểm tra bằng cách nào?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-025,bhxh,Procedure,A,,Nếu tôi phát hiện công ty chưa đóng BHXH cho mình thì tôi nên làm gì để bảo vệ quyền lợi của mình?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-026,bhxh,Procedure,A,,Tôi chuẩn bị nghỉ việc nên muốn hỏi về thủ tục chốt sổ BHXH. Thủ tục này thường sẽ tiến hành như thế nào,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-027,bhxh,Procedure,A,,Tôi sắp sang công ty khác làm việc. Xin hỏi khi chuyển nơi làm việc thì tôi có phải làm sổ BHXH mới không?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-028,bhxh,Procedure,A,,Tôi đang làm đồng thời cho hai công ty. Xin hỏi về thủ tục thì tôi phải đóng BHXH ở công ty nào trước?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-029,bhxh,Procedure,A,,Hồ sơ BHXH của tôi đang bị sai họ tên so với căn cước công dân. Trường hợp này tôi nên xử lý như thế nào?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-030,bhxh,Procedure,A,,"Tôi phát hiện mình đang có hai mã số BHXH do trước đây công ty cũ làm sai. Xin hỏi trong trường này, tôi phải xử lý như thế nào?",Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-031,bhxh,Procedure,A,,Tôi làm việc thực tế đã lâu nhưng công ty mới đóng BHXH gần đây. Nếu tôi yêu cầu truy đóng cho thời gian trước thì cần chuẩn bị gì?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-032,bhxh,Procedure,A,,Công ty tôi cho tạm hoãn hợp đồng vài tháng. Xin hỏi trường hợp này doanh nghiệp có phải làm thủ tục gì với cơ quan BHXH không?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-033,bhxh,Procedure,A,,Tôi xin nghỉ không lương khá lâu vì việc gia đình. Về thủ tục thì công ty phải xử lý hồ sơ BHXH của tôi như thế nào?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-034,bhxh,Procedure,A,,Tôi nghi ngờ công ty kê mức lương đóng BHXH thấp hơn lương thực trả. Tôi nên kiểm tra theo cách nào?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-035,bhxh,Procedure,A,,Nếu công ty chây ì không đóng BHXH cho tôi thì tôi nên nộp đơn ở đâu để được giải quyết?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-036,bhxh,Procedure,A,,"Sau khi nghỉ việc, tôi đang tính làm hồ sơ BHXH một lần. Xin hỏi có bắt buộc phải chốt sổ xong mới làm được không?",Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-037,bhxh,Procedure,A,,Tôi vừa đổi từ CMND sang căn cước công dân gắn chip. Trường hợp này có cần cập nhật lại thông tin BHXH không?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-038,bhxh,Procedure,A,,Tôi cần chứng minh đã tham gia BHXH ở công ty cũ để làm thủ tục khác. Xin hỏi xin xác nhận quá trình tham gia bằng cách nào?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-039,bhxh,Procedure,A,,Tôi ở xa nên không tiện trực tiếp đi làm thủ tục BHXH. Vậy tôi có thể ủy quyền cho người thân đi làm thay được không?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-040,bhxh,Procedure,A,,Tôi muốn công ty đưa cho tôi tài liệu chứng minh là đã đóng BHXH hằng tháng. Tôi có quyền yêu cầu không?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-041,bhxh,Procedure,A,,Công ty tôi đổi tên và đổi người đại diện pháp luật. Xin hỏi người lao động có phải làm lại toàn bộ hồ sơ BHXH không?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-042,bhxh,Procedure,A,,Tôi chuẩn bị nhận việc ở một công ty mới nhưng lo công ty nợ BHXH. Có cách nào kiểm tra trước không?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-043,bhxh,Procedure,A,,Tôi nghỉ việc một thời gian nhưng chưa muốn rút BHXH một lần. Xin hỏi muốn bảo lưu thời gian đã đóng thì có phải làm thủ tục gì riêng không?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-044,bhxh,Reasoning,A+B,actual_labor_relation|contract_duration|management_supervision,"Tôi ký giấy tờ ghi là hợp đồng khoán việc 2 tháng, nhưng thực tế vẫn đi làm giờ hành chính và chịu sự quản lý của công ty. Trong trường hợp này có phải đóng BHXH bắt buộc không?",Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-045,bhxh,Reasoning,A+B,contract_type_or_labor_relation|contract_duration,Tôi chỉ làm 3 buổi một tuần nhưng lương tháng lại khá cao. Vậy trường hợp làm không trọn thời gian như tôi có phải tham gia BHXH bắt buộc không?,Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-046,bhxh,Reasoning,A+B,first_effective_labor_contract|current_social_insurance_registration|employment_period|contract_or_working_evidence|unpaid_social_insurance_period,Công ty tôi cứ ký với người lao động nhiều hợp đồng dưới 1 tháng nối tiếp nhau để không đóng BHXH. Cách làm này có hợp pháp không?,Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-047,bhxh,Reasoning,A+B,effective_date|employment_status|social_insurance_closing_status,Tôi vào làm đầu tháng nhưng nghỉ việc giữa tháng. Trường hợp như vậy tháng đó có phải đóng BHXH bắt buộc không?,Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-048,bhxh,Reasoning,A+B,effective_date|employment_status|social_insurance_closing_status,Nếu người lao động đang nghỉ thai sản mà công ty cho nghỉ việc hoặc chấm dứt hợp đồng thì quyền lợi BHXH bắt buộc có bị mất không?,Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-049,bhxh,Reasoning,A+B,salary_components_in_contract|regular_allowances_or_supplements|actual_payment_records,Công ty ghi trong hợp đồng mức lương thấp nhưng thực tế chuyển khoản cho tôi cao hơn nhiều. Vậy tiền lương đóng BHXH phải tính theo mức nào?,Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-050,bhxh,Reasoning,A,,Tôi chỉ đứng tên giám đốc cho người khác nhưng thực chất làm công ăn lương. Trường hợp này BHXH sẽ xác định như thế nào?,Tình huống có đủ dữ kiện chính; có thể trả lời trực tiếp kèm phân tích.
BHXH-051,bhxh,Reasoning,A+B,first_effective_labor_contract|current_social_insurance_registration,"Tôi làm việc tại nhà, công ty giao KPI và chấm công online hằng ngày. Vì không đến văn phòng nên công ty bảo không phải đóng BHXH. Lập luận đó có đúng không?",Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-052,bhxh,Reasoning,A,,"Tôi được trả lương theo sản phẩm, không có lương cố định. Vậy hình thức trả lương như vậy có làm tôi không phải đóng BHXH không?",Tình huống có đủ dữ kiện chính; có thể trả lời trực tiếp kèm phân tích.
BHXH-053,bhxh,Reasoning,A+B,actual_labor_relation|contract_duration|management_supervision,Tôi được công ty yêu cầu ký hợp đồng học việc nhiều tháng dù đã làm việc như nhân viên chính thức. Trường hợp này có phải là cách né BHXH không?,Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-054,bhxh,Reasoning,A,,Tôi đã hưởng lương hưu nhưng nay đi làm lại cho doanh nghiệp tư nhân. Trường hợp này có tiếp tục phải đóng BHXH bắt buộc nữa không?,Tình huống có đủ dữ kiện chính; có thể trả lời trực tiếp kèm phân tích.
BHXH-055,bhxh,Reasoning,A+B,first_effective_labor_contract|current_social_insurance_registration,"Tôi ký hợp đồng với công ty A trước, nhưng hiện nay thu nhập chính lại ở công ty B. Vậy BHXH bắt buộc phải đóng ở nơi nào?",Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-056,bhxh,Reasoning,A+B,employment_period|contract_or_working_evidence|unpaid_social_insurance_period,Nếu công ty vừa nợ lương vừa không đóng BHXH rồi ngừng hoạt động thì người lao động có bị mất hết quyền lợi không?,Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-057,bhxh,Reasoning,A+B,actual_labor_relation|contract_duration|management_supervision,"Tôi ký hợp đồng dịch vụ nhưng công ty vẫn chấm công, giao ca làm, phạt đi muộn như nhân viên. Vậy trường hợp này có thể bị xem là quan hệ lao động để đóng BHXH không?",Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-058,bhxh,Reasoning,A,,"Tôi làm theo mùa vụ khoảng 45 ngày, năm nào cũng quay lại cùng một công ty. Trường hợp này có bắt buộc đóng BHXH không?",Tình huống có đủ dữ kiện chính; có thể trả lời trực tiếp kèm phân tích.
BHXH-059,bhxh,Reasoning,A+B,case_specific_conditions,Công ty nói phải làm đủ 2 tháng mới được đóng BHXH. Trong khi tôi đã ký hợp đồng lao động 12 tháng từ ngày đầu tiên. Công ty nói vậy có đúng không?,Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-060,bhxh,Reasoning,A,,Dù lương mỗi người khác nhau nhưng công ty tôi đều đóng BHXH theo một mức gần tối thiểu. Cách làm này có đúng pháp luật không?,Tình huống có đủ dữ kiện chính; có thể trả lời trực tiếp kèm phân tích.
BHXH-061,bhxh,Reasoning,A+B,work_permit_or_exemption_status|contract_duration|residence_or_assignment_status,Tôi là lao động nước ngoài đang làm việc tại Việt Nam. Xin hỏi tôi có thuộc diện tham gia BHXH bắt buộc không?,Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-062,bhxh,Reasoning,A+B,first_effective_labor_contract|current_social_insurance_registration|salary_components_in_contract|regular_allowances_or_supplements|actual_payment_records,Tôi ký lương net với công ty nên công ty bảo sẽ tự cân đối để đóng BHXH ở mức thấp hơn. Như vậy có được không?,Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-063,bhxh,Reasoning,A,,Tôi không được ký hợp đồng bằng văn bản nhưng làm việc ổn định đã hơn 6 tháng và nhận lương đều hằng tháng. Trường hợp này có thể yêu cầu đóng BHXH không?,Tình huống có đủ dữ kiện chính; có thể trả lời trực tiếp kèm phân tích.
BHXH-064,bhxh,Reasoning,A+B,effective_date|employment_status|social_insurance_closing_status|employment_period|contract_or_working_evidence|unpaid_social_insurance_period,Tôi đã nghỉ việc một thời gian rồi mới biết công ty chưa đóng BHXH cho mình. Trường hợp này còn yêu cầu truy đóng được không?,Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-065,bhxh,Reasoning,A+B,actual_labor_relation|contract_duration|management_supervision,Công ty đề nghị tôi ký hợp đồng cộng tác viên thay vì hợp đồng lao động để đỡ phải đóng BHXH cho cả hai bên. Cách này có ổn không?,Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-066,bhxh,Reasoning,A,,"Tôi vừa góp vốn vào công ty, vừa trực tiếp làm việc và nhận lương hằng tháng. Vậy BHXH của tôi được xác định theo tư cách nào?",Tình huống có đủ dữ kiện chính; có thể trả lời trực tiếp kèm phân tích.
BHXH-067,bhxh,Reasoning,A+B,effective_date|employment_status|social_insurance_closing_status|employment_period|contract_or_working_evidence|unpaid_social_insurance_period,Nếu sau này tòa xác định công ty cho tôi nghỉ việc trái pháp luật thì thời gian bị cho nghỉ có được truy đóng BHXH không?,Câu hỏi reasoning/hybrid cần áp luật vào tình huống; nên trả lời có điều kiện và liệt kê missing facts để tránh overclaim.
BHXH-068,bhxh,Factual,A,,Tôi ký hợp đồng lao động 12 tháng với công ty tư nhân. Xin hỏi trường hợp này có bắt buộc phải tham gia BHXH không?,Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
BHXH-069,bhxh,Factual,A,,Tôi chỉ ký hợp đồng lao động 20 ngày để làm việc ngắn hạn. Vậy tôi có phải đóng BHXH bắt buộc không?,Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
BHXH-070,bhxh,Factual,A,,"Tôi ký hợp đồng với công ty A trước, sau đó mới ký thêm với công ty B. Xin hỏi tôi phải đóng BHXH bắt buộc ở đâu?",Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
BHXH-071,bhxh,Factual,A+B,contract_type_or_labor_relation|contract_duration,Tôi làm bán thời gian nhưng lương tháng vẫn cao. Trường hợp này có phải đóng BHXH bắt buộc không?,Câu hỏi áp dụng sự kiện nhưng còn thiếu dữ kiện then chốt để kết luận chắc chắn.
BHXH-072,bhxh,Factual,A,,Tôi đã chấm dứt hợp đồng lao động với công ty. Sau khi nghỉ việc thì tôi còn phải đóng BHXH bắt buộc nữa không?,Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
BHXH-073,bhxh,Factual,A,,Tôi là giám đốc công ty và có nhận lương hằng tháng. Tôi có phải đóng BHXH bắt buộc không?,Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
BHXH-074,bhxh,Factual,A,,Tôi đứng tên giám đốc nhưng không hưởng lương. Vậy tôi có bắt buộc phải đóng BHXH không?,Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
BHXH-075,bhxh,Factual,A+B,salary_components_in_contract|regular_allowances_or_supplements|actual_payment_records,Công ty thưởng Tết cho tôi một khoản khá lớn. Tiền này có phải cộng vào để đóng BHXH không?,Câu hỏi áp dụng sự kiện nhưng còn thiếu dữ kiện then chốt để kết luận chắc chắn.
BHXH-076,bhxh,Factual,A+B,salary_components_in_contract|regular_allowances_or_supplements|actual_payment_records,Tôi đang hưởng phụ cấp chức vụ. Khoản này có tính vào tiền lương đóng BHXH không?,Câu hỏi áp dụng sự kiện nhưng còn thiếu dữ kiện then chốt để kết luận chắc chắn.
BHXH-077,bhxh,Factual,A,,Thu nhập của tôi cao hơn rất nhiều so với mặt bằng chung. Vậy đóng BHXH có bị giới hạn mức tối đa không?,Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
BHXH-078,bhxh,Factual,A,,"Tôi làm việc 6 tháng, nhận lương đều nhưng công ty không ký hợp đồng bằng văn bản. Tôi có thể yêu cầu đóng BHXH được không?",Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
BHXH-079,bhxh,Factual,A+B,actual_labor_relation|contract_duration|management_supervision,"Tôi chỉ ký hợp đồng thử việc riêng, chưa ký hợp đồng lao động. Trường hợp này có phải đóng BHXH không?",Câu hỏi áp dụng sự kiện nhưng còn thiếu dữ kiện then chốt để kết luận chắc chắn.
BHXH-080,bhxh,Factual,A,,"Tôi đã nhận lương hưu, nay đi làm lại cho doanh nghiệp. Tôi có phải đóng BHXH bắt buộc nữa không?",Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
BHXH-081,bhxh,Factual,A+B,work_permit_or_exemption_status|contract_duration|residence_or_assignment_status,Tôi là người nước ngoài làm việc tại Việt Nam theo hợp đồng lao động. Tôi có phải tham gia BHXH bắt buộc không?,Câu hỏi áp dụng sự kiện nhưng còn thiếu dữ kiện then chốt để kết luận chắc chắn.
BHXH-082,bhxh,Factual,A,,Tôi đang tạm hoãn hợp đồng lao động. Vậy trong thời gian này tôi có còn đóng BHXH bắt buộc như bình thường không?,Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
BHXH-083,bhxh,Factual,A+B,actual_labor_relation|contract_duration|management_supervision,Tôi ký hợp đồng cộng tác viên nhưng bị quản lý giờ giấc và KPI như nhân viên chính thức. Vậy tôi có phải đóng BHXH không?,Câu hỏi áp dụng sự kiện nhưng còn thiếu dữ kiện then chốt để kết luận chắc chắn.
BHXH-084,bhxh,Factual,A,,Tôi ký hợp đồng 1 năm nhưng công ty bảo làm qua 2 tháng mới đóng BHXH. Công ty làm vậy có đúng không?,Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
BHXH-085,bhxh,Factual,A+B,effective_date|employment_status|social_insurance_closing_status,Tôi đang nghỉ không lương nên muốn tự đóng tiếp để không bị đứt quãng thời gian. Tôi có thể chuyển sang BHXH tự nguyện không?,Câu hỏi áp dụng sự kiện nhưng còn thiếu dữ kiện then chốt để kết luận chắc chắn.
BHXH-086,bhxh,Factual,A,,Tôi nghi công ty đang nợ BHXH. Tôi có quyền yêu cầu biết tình trạng đóng của mình không?,Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
BHXH-087,bhxh,Factual,A+B,salary_components_in_contract|regular_allowances_or_supplements|actual_payment_records,Tôi thỏa thuận lương net với công ty. Như vậy công ty có được đóng BHXH cho tôi ở mức thấp đi không?,Câu hỏi áp dụng sự kiện nhưng còn thiếu dữ kiện then chốt để kết luận chắc chắn.
BHXH-088,bhxh,Factual,A,,Tôi làm việc online tại nhà cho công ty trong nước và nhận lương hằng tháng. Trường hợp này có phải đóng BHXH không?,Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
BHXH-089,bhxh,Factual,A,,Tôi ký hợp đồng lao động 45 ngày. Xin hỏi trường hợp này có phải đóng BHXH bắt buộc không?,Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
BHXH-090,bhxh,Factual,A,,Tôi nghỉ việc nhưng chưa muốn hưởng BHXH một lần. Sau khi chốt sổ xong tôi có được giữ lại thời gian đã đóng không?,Câu hỏi fact-application có dữ kiện đủ rõ để kết luận trực tiếp theo luật.
DOANH_NGHIEP-001,doanh_nghiep,definition,A,,Tôi đang tìm hiểu để mở công ty nên còn khá mơ hồ. Xin luật sư cho tôi hỏi doanh nghiệp là gì được hiểu như thế nào theo quy định hiện hành?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
DOANH_NGHIEP-002,doanh_nghiep,definition,A,,Tôi đang tìm hiểu để mở công ty nên còn khá mơ hồ. Xin luật sư cho tôi hỏi ngành nghề kinh doanh có điều kiện là gì được hiểu như thế nào theo quy định hiện hành?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
DOANH_NGHIEP-003,doanh_nghiep,definition,A,,Tôi đang tìm hiểu để mở công ty nên còn khá mơ hồ. Xin luật sư cho tôi hỏi vốn điều lệ là gì được hiểu như thế nào theo quy định hiện hành?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
